objid,ra,dec,u,g,r,i,z,class
1237648704577142822,183.5313257,0.08969303013,19.47406,17.0424,15.94699,15.50342,15.22531,STAR
1237648704577142859,183.5983705,0.1352850322,18.6628,17.21449,16.67637,16.48922,16.3915,STAR
1237648704577208477,183.6802074,0.1261850923,19.38298,18.19169,17.47428,17.08732,16.80125,GALAXY
1237648704577273907,183.8705294,0.04991068506,17.76536,16.60272,16.16116,15.98233,15.90438,STAR
1237648704577273909,183.8832883,0.1025567519,17.55025,16.26342,16.43869,16.55492,16.61326,STAR
1237648704577273970,183.8471736,0.173694164,19.43133,18.46779,18.16451,18.01475,18.04155,STAR
1237648704577273992,183.864379,0.01920071141,19.38322,17.88995,17.10537,16.66393,16.36955,GALAXY
1237648704577274016,183.9000814,0.1874732967,18.97993,17.84496,17.38022,17.20673,17.07071,STAR
1237648704577339400,183.9245885,0.09724578234,17.90616,16.97172,16.67541,16.53776,16.47596,STAR
1237648704577339546,183.9734977,0.08162558161,18.67249,17.71375,17.49362,17.28284,17.22644,GALAXY
1237648704577339553,183.9791945,0.1359978224,19.29772,17.80227,17.18266,16.92335,16.79928,STAR
1237648704577404955,184.0853311,0.1121100222,18.83307,17.51785,16.94273,16.71418,16.60521,STAR
1237648704577405025,184.1020979,0.1915109165,19.5625,18.19113,17.65759,17.47573,17.39203,STAR
1237648704577405051,184.1605102,0.0756453128,19.5799,17.72815,16.9874,16.68076,16.50426,STAR
1237648704577405071,184.1895738,0.09948246786,19.25667,17.54869,16.63578,16.14922,15.76639,GALAXY
1237648704577470535,184.3506466,0.2072295227,18.73832,18.60962,18.39696,18.31174,17.97663,QSO
1237648704577470556,184.2217972,0.0469551813,19.05958,18.09512,17.92766,17.8927,17.90772,STAR
1237648704577470571,184.2456643,0.1982570769,19.22143,19.30248,19.13823,19.11351,19.23454,QSO
1237648704577536044,184.3888696,0.06828742751,19.04397,17.51106,16.87335,16.61114,16.48303,STAR
1237648704577536186,184.3809191,0.1743227698,17.81661,16.86976,16.53884,16.19576,16.08668,GALAXY
1237648704577536223,184.4668531,0.1119653211,19.3932,18.48274,18.16551,18.05122,18.04328,STAR
1237648704577601553,184.5694109,0.1370914853,17.51339,16.41793,16.06695,15.93751,15.89478,STAR
1237648704577601580,184.6541703,0.1226734459,19.07731,18.64518,18.49678,18.52677,18.45765,QSO
1237648704577601583,184.6587955,0.1599355067,18.63032,17.23437,16.72749,16.51772,16.44039,STAR
1237648704577601603,184.5168342,0.1455495857,19.21684,18.29956,18.19589,18.14758,18.26658,STAR
1237648704577601667,184.6185631,0.08057626905,19.4127,17.47109,16.4987,16.06502,15.66848,GALAXY
1237648704577601678,184.6274079,0.01323408631,18.48543,17.339,16.90179,16.66712,16.48684,GALAXY
1237648704577667080,184.6767619,0.05944186906,17.72835,16.19783,15.66073,15.51586,15.43615,STAR
1237648704577667113,184.7119696,0.06657190089,17.70824,16.61069,16.19772,16.0625,16.00229,STAR
1237648704577667170,184.7702039,0.1980100503,18.18974,17.23738,16.89113,16.75727,16.71052,STAR
1237648704577667254,184.7826977,0.1409793692,19.0764,17.78953,16.98818,16.60519,16.27859,GALAXY
1237648704577667370,184.7651553,0.08098579448,19.18013,18.07133,17.71771,17.48797,17.55667,GALAXY
1237648704577732623,184.8635981,0.1434693628,18.38848,17.00188,16.37884,16.16978,16.0124,STAR
